,0
713,Yes
714,Yes
715,yes
716,Yes
717,Yes
718,Yes
719,yes
720,Yes
721,yes
722,yes
723,yes
724,yes
725,yes
726,Yes
727,yes
728,yes
729,"""This a transcript of a witness interview in court: hundreds of people were beaten"
730,yes
731,yes
732,Yes
733,yes
734,yes
735,Yes
736,yes
737,yes
738,Yes
739,yes
740,Yes
741,yes
742,Yes
743,yes
744,yes
745,Yes
746,No
747,yes
748,Yes
749,No
750,Yes
751,Yes
752,This a transcript of a witness interview in court: of the KLA on our patrol
753,no
754,no
755,gunfire
756,Yes
757,Yes
758,No
759,no
760,Yes
761,no
762,Yes
763,yes
764,yes
765,Yes
766,no
767,no
768,Yes
769,yes
770,Yes
771,Yes
772,Yes
773,Yes
774,Yes
775,Yes
776,Yes
777,yes
778,no
779,no
780,no
781,No
782,yes
783,no
784,no
785,no
786,no
787,yes
788,Yes
789,Yes
790,Yes
791,Yes
792,yes
793,Yes
794,Yes
795,no
796,yes
797,Yes
798,No
799,Yes
800,yes
801,Yes
802,yes
803,yes
804,yes
805,yes
806,yes
807,yes
808,yes
809,Yes
810,yes
811,no
812,yes
813,yes
814,yes
815,Yes
816,Yes
817,yes
818,yes
819,no
820,yes
821,yes
822,Yes
823,yes
824,Yes
825,yes
826,A No
827,yes
828,yes
829,Yes
830,Yes
831,no
832,yes
833,yes
834,yes
835,yes
836,Yes
837,yes
838,Yes
839,no
840,No
841,Yes
842,Yes
843,Yes
844,yes
845,yes
846,no
847,no
848,yes
849,yes
850,No
851,Yes
852,(b).
853,yes
854,no
855,Yes
856,yes
857,no
858,A No
859,Yes
860,yes
861,Yes
862,Yes
863,yes
864,Yes
865,Yes
866,Yes
867,Yes
868,Yes
869,yes
870,(ii)
871,yes
872,yes
873,Yes
874,yes
875,yes
876,yes
877,No
878,Yes
879,yes
880,yes
881,No
882,no
883,no
884,yes
885,no
886,yes
887,no
888,yes
889,no
890,no
891,Yes
892,no
893,no
894,yes
895,no
896,Yes
897,no
898,Yes
899,Yes
900,yes
901,no
902,Yes
903,yes
904,Yes
905,Yes
906,no
907,yes
908,yes
909,Yes
910,Yes
911,yes
912,Yes
913,Yes
914,yes
915,yes
916,No
917,A Yes
918,Yes
919,no
920,Yes
921,Yes
922,yes
923,Yes
924,yes
925,yes
926,yes
927,Yes
928,yes
929,no
930,Yes
931,yes
932,Yes
933,Yes
934,Yes
935,Yes
936,Yes
937,Yes
938,Yes
939,Yes
940,Yes
941,yes
942,Yes
943,yes
944,Yes
945,yes
946,yes
947,None
948,No
949,Yes
950,yes
951,no
952,Yes
953,Yes
954,yes
955,yes
956,Yes
957,yes
958,yes
959,no
960,yes
961,no
962,Yes
963,Yes
964,yes
965,Yes
966,Yes
967,Yes
968,yes
969,yes
970,Yes
971,yes
972,Yes
973,yes
974,no
975,no
976,Yes
977,Yes
978,Yes
979,yes
980,no
981,yes
982,no
983,Yes
984,yes
985,yes
986,yes
987,Yes
988,yes
989,Yes
990,yes
991,yes
992,Yes
993,Yes
994,yes
995,yes
996,no
997,Yes
998,yes
999,rape
1000,no
1001,no
1002,(b).
1003,no
1004,no
1005,no
1006,yes
1007,Yes
1008,Yes
1009,Yes
1010,yes
1011,yes
1012,Yes
1013,yes
1014,yes
1015,Yes
1016,yes
1017,yes
1018,Yes
1019,Yes
1020,no
1021,no
1022,No
1023,no
1024,Yes
1025,yes
1026,yes
1027,yes
1028,Yes
1029,Yes
1030,Yes
1031,Yes
1032,Yes
1033,Yes
1034,yes
1035,no
1036,yes
1037,yes
1038,Yes
1039,yes
1040,Yes
1041,Yes
1042,Yes
1043,yes
1044,yes
1045,Yes
1046,yes
1047,yes
1048,Yes
1049,Yes
1050,yes
1051,no
1052,no
1053,yes
1054,Yes
1055,yes
1056,yes
1057,yes
1058,yes
1059,Yes
1060,Yes
1061,no
1062,Yes
1063,Yes
1064,yes
1065,Yes
1066,Yes
1067,yes
1068,yes
1069,yes
1070,yes
1071,yes
1072,Yes
1073,yes
1074,Yes
1075,Yes
1076,Yes
1077,yes
1078,yes
1079,Yes
1080,yes
1081,yes
1082,yes
1083,yes
1084,Yes
1085,yes
1086,yes
1087,yes
1088,Yes
1089,no
1090,yes
1091,yes
1092,yes
1093,yes
1094,Yes
1095,yes
1096,yes
1097,no
1098,no
1099,no
1100,no
1101,Yes
1102,Yes
1103,no
1104,Yes
1105,Yes
1106,yes
1107,yes
1108,Yes
1109,Yes
1110,Yes
1111,Yes
1112,Yes
1113,Yes
1114,yes
1115,yes
1116,Yes
1117,yes
1118,Yes
1119,Yes
1120,Yes
1121,Yes
1122,yes
1123,Yes
1124,yes
1125,Yes
1126,Yes
1127,yes
1128,no
1129,no
1130,no
1131,no
1132,yes
1133,Yes
1134,yes
1135,yes
1136,yes
1137,yes
1138,yes
1139,yes
1140,yes
1141,yes
1142,Yes
1143,yes
1144,Yes
1145,Yes
1146,Yes
1147,Yes
1148,yes
1149,Yes
1150,Yes
1151,Yes
1152,yes
1153,yes
1154,Yes
1155,Yes
1156,Yes
1157,yes
1158,Yes
1159,yes
1160,Yes
1161,yes
1162,Yes
1163,Yes
1164,Yes
1165,yes
1166,yes
1167,Yes
1168,Yes
1169,yes
1170,No
1171,no
1172,no
1173,no
1174,no
1175,no
1176,no
1177,no
1178,no
1179,yes
1180,Yes
1181,yes
1182,yes
1183,yes
1184,Yes
1185,yes
1186,yes
1187,Yes
1188,Yes
1189,yes
1190,yes
1191,Yes
1192,yes
1193,no
1194,no
1195,Yes
1196,yes
1197,no
1198,Yes
1199,yes
1200,yes
1201,Yes
1202,yes
1203,Yes
1204,yes
1205,no
1206,no
1207,Yes
1208,yes
1209,Yes
1210,yes
1211,yes
1212,yes
1213,Yes
1214,Yes
1215,Yes
1216,Yes
1217,Yes
1218,yes
1219,yes
1220,yes
1221,no
1222,No
1223,Yes
1224,yes
1225,no
1226,Yes
1227,yes
1228,yes
1229,Yes
1230,no
1231,Yes
1232,yes
1233,Yes
1234,yes
1235,Yes
1236,Yes
1237,Yes
1238,yes
1239,Yes
1240,yes
1241,no
1242,no
1243,yes
1244,yes
1245,Yes
1246,yes
1247,Yes
1248,Yes
1249,yes
1250,yes
1251,yes
1252,Yes
1253,yes
1254,yes
1255,yes
1256,yes
1257,yes
1258,yes
1259,Yes
1260,yes
1261,Yes
1262,yes
1263,yes
1264,Yes
1265,yes
1266,Yes
1267,Yes
1268,yes
1269,no
1270,Yes
1271,yes
1272,yes
1273,Yes
1274,Yes
1275,Yes
1276,yes
1277,Yes
1278,yes
1279,yes
1280,yes
1281,no
1282,no
1283,yes
1284,yes
1285,yes
1286,no
1287,no
1288,no
1289,no
1290,no
1291,no
1292,Yes
1293,no
1294,yes
1295,yes
1296,yes
1297,no
1298,yes
1299,Yes
1300,Yes
1301,no
1302,Yes
1303,No
1304,Yes
1305,yes
1306,Yes
1307,yes
1308,no
1309,Yes
1310,No
1311,No
1312,Yes
1313,Yes
1314,yes
1315,Yes
1316,Yes
1317,yes
1318,yes
1319,no
1320,no
1321,Yes
1322,no
1323,no
1324,no
1325,yes
1326,no
1327,no
1328,no
1329,yes
1330,yes
1331,yes
1332,Yes
1333,Yes
1334,yes
1335,yes
1336,yes
1337,yes
1338,yes
1339,yes
1340,no
1341,Yes
1342,yes
1343,yes
1344,no
1345,yes
1346,yes
1347,no
1348,no
1349,no
1350,yes
1351,Yes
1352,yes
1353,Yes
1354,yes
1355,yes
1356,Yes
1357,yes
1358,no
1359,yes
1360,no
1361,no
1362,Yes
1363,yes
1364,yes
1365,The idea is not to traumatize the witness
1366,Yes
1367,no
1368,Yes
1369,no
1370,Yes
1371,no
1372,Yes
1373,Yes
1374,no
1375,no
1376,no
1377,no
1378,no
1379,no
1380,no
1381,no
1382,no
1383,Yes
1384,no
1385,no
1386,Yes
1387,(II)
1388,Yes
1389,no
1390,Yes
1391,yes
1392,Yes
1393,yes
1394,yes
1395,no
1396,yes
1397,yes
1398,yes
1399,yes
1400,Yes
1401,no
1402,no
1403,yes
1404,yes
1405,yes
1406,yes
1407,yes
1408,no
1409,no
1410,yes
1411,yes
1412,yes
1413,no
1414,yes
1415,no
1416,yes
1417,yes
1418,yes
1419,Yes
1420,Yes
1421,Yes
1422,yes
1423,yes
1424,Yes
1425,no
1426,yes
1427,yes
1428,Yes
1429,Yes
1430,yes
1431,yes
1432,yes
1433,yes
1434,Yes
1435,no
1436,no
1437,yes
1438,yes
1439,yes
1440,Yes
1441,no
1442,No
1443,yes
1444,no
1445,yes
1446,no
1447,yes
1448,no
1449,(ii)
1450,yes
1451,yes
1452,Yes
1453,no
1454,yes
1455,no
1456,no
1457,no
1458,no
1459,yes
1460,Yes
1461,yes
1462,yes
1463,no
1464,yes
1465,no
1466,yes
1467,no
1468,(ii)
1469,Yes
1470,no
1471,Yes
1472,yes
1473,yes
1474,yes
