,0
680,No
681,No
682,No
683,A Yes
684,No
685,was in the dining room
686,Yes
687,No
688,Yes
689,A Yes
690,No
691,A I was a refugee
692,A I had cousins since not only in Prijedor but also in Koza
693,No
694,No
695,A No
696,A Yes
697,Yes
698,A: No
699,IT
700,What was the population of the village
701,No
702,No
703,No
704,A Yes
705,A Yes
706,A
707,No
708,No
709,Yes
710,Yes
711,ARE WRONG
712,No
713,JUDGE MAY Yes
714,are controlled by the KLA
715,KLA
716,Yes
717,ACCUSED
718,Previous translation continues please
719,Yes
720,The WITNESS Interpretation
721,Yes
722,Yes
723,A Yes it is
724,A
725,Yes
726,Is there anything else I can help you with
727,A
728,Yes
729,A Yes
730,Yes
731,Yes
732,No
733,Yes
734,The WITNESS Interpretation
735,Yes
736,Yes
737,Yes
738,Yes
739,Yes
740,A: Thank you.
741,Yes
742,A Yes
743,Yes
744,Yes
745,province
746,A No
747,Yes
748,A No
749,No
750,A Yes
751,No
752,The WITNESS
753,No
754,Yes
755,Yes
756,No
757,No
758,JUDGE MAY
759,Yes
760,Yes
761,able to see the shoulder patches
762,I was told that when the OSCE leaves Kosovo I should hide so that the Serb police
763,Yes
764,No
765,A about a thousand
766,A Yes
767,No
768,A Yes
769,A I heard gunfire in the area
770,A
771,A
772,No
773,Yes
774,No
775,No
776,Yes
777,Yes
778,No
779,No
780,No
781,No
782,No
783,No
784,No
785,No
786,No
787,No
788,A Yes
789,A: Yes
790,A No
791,Yes
792,A I didnt know
793,Is there any other information you would like to know about the attack
794,A
795,Yes
796,Yes
797,No
798,No
799,Yes
800,Yes
801,Yes
802,No
803,Yes
804,Yes
805,Yes
806,A Yes
807,yes
808,Yes
809,I dont know about this case
810,A
811,No
812,Yes
813,No
814,Yes
815,A I am a citizen of Kosovo
816,A Yes
817,Yes
818,A Yes
819,A
820,No
821,No
822,A Yes
823,Seseljs vehicles was escorted by a policeman
824,A No
825,Yes
826,Yes
827,MR MILOSEVIC Interpretation
828,No
829,A No
830,A: No
831,Yes
832,Yes
833,No
834,Yes
835,Yes
836,Yes
837,Yes
838,No no more questions
839,Yes
840,No
841,A Yes
842,No
843,No
844,Peja
845,No
846,No
847,No
848,No
849,Peja
850,A No
851,A: Yes
852,No
853,THE ACCUSED Interpretation
854,A
855,No
856,No
857,No
858,no
859,A Yes
860,A No
861,No
862,A No
863,A No I dont know this name
864,Yes
865,Yes
866,Yes
867,A Yes
868,Yes
869,Yes
870,No
871,No
872,Yes
873,Yes
874,No
875,I came back to Peja I saw buses completely destroyed
876,Yes
877,Kosovo
878,Yes
879,Yes
880,No
881,No
882,No
883,no
884,Yes
885,No
886,No
887,No
888,yes
889,TEXT
890,Yes
891,A Yes
892,No
893,impose its will
894,No
895,No
896,No
897,A No
898,A Yes
899,A Previous translation continues not answering to that question
900,Yes
901,No
902,No
903,Yes
904,Yes
905,A Yes
906,referring to the care shown by the members of the KLA
907,Yes
908,no
909,No
910,A Yes
911,Yes
912,A
913,Yes
914,MR HALIMI
915,No
916,A Yes
917,A No
918,Yes
919,Yes
920,A
921,Yes
922,No
923,Yes
924,military unit did not do any harm
925,No
926,Yes
927,No
928,Yes
929,Yes
930,orgxcasesslobodanmilosevictransen IT ht
931,Yes
932,A Yes
933,A: Mr Kay is not a lawyer
934,A Yes
935,A: Yes
936,Yes
937,Yes
938,A
939,Yes
940,No
941,Yes
942,Yes
943,Yes
944,Yes
945,put it
946,No
947,No
948,A Yes
949,No
950,JUDGE MAY
951,No
952,Serbian police
953,Yes
954,I said I dont have here the recorded tape but this is what I heard
955,No
956,Yes
957,Yes
958,codes are too old
959,No
960,Yes
961,No
962,KLA had
963,Yes
964,No
965,with him
966,MR MILOSEVIC
967,JUDGE MAY
968,Yes
969,No
970,No
971,No
972,Yes
973,RYNEVELD
974,JUDGE MAY
975,No
976,ACCUSED
977,No
978,Yes
979,No
980,No
981,MR MILOSEVIC
982,No
983,Yes
984,Yes
985,Yes
986,Yes
987,No
988,Yes
989,No
990,Yes
991,Yes
992,No
993,no
994,No
995,No
996,Yes
997,Yes
998,Yes
999,Yes
1000,No
1001,Yes
1002,No
1003,No
1004,No
1005,What was the name of the witness who was speaking at the same time?
1006,Yes
1007,No
1008,Yes
1009,A).
1010,Yes
1011,Yes
1012,Yes
1013,Yes
1014,Yes
1015,No
1016,Yes
1017,Yes
1018,No
1019,Yes
1020,No
1021,No
1022,No
1023,Yes
1024,Yes
1025,Yes
1026,Yes
1027,Yes
1028,A).
1029,Yes
1030,Yes
1031,Yes
1032,Yes
1033,Yes
1034,Yes
1035,Yes
1036,No
1037,Yes
1038,Yes
1039,Yes
1040,Yes
1041,A).
1042,Yes
1043,Yes
1044,Yes
1045,Yes
1046,Yes
1047,Yes
1048,Yes
1049,Yes
1050,Yes
1051,No
1052,Yes
1053,Yes
1054,Yes
1055,A
1056,Yes
1057,A).
1058,Yes
1059,Yes
1060,Yes
1061,No
1062,Yes
1063,Yes
1064,Yes
1065,Yes
1066,Yes
1067,Yes
1068,Yes
1069,Yes
1070,No
1071,No
1072,Yes
1073,Yes
1074,Yes
1075,Yes
1076,Yes
1077,A Yes
1078,Yes
1079,Yes
1080,Akayesu
1081,VOTE is YES
1082,Yes
1083,Yes
1084,Yes
1085,Yes
1086,Yes
1087,Yes
1088,Yes
1089,No
1090,No
1091,Yes
1092,Yes
1093,Yes
1094,Yes
1095,Yes
1096,No
1097,No
1098,No
1099,No
1100,No
1101,Yes
1102,No
1103,Yes
1104,Yes
1105,Yes
1106,Yes
1107,A
1108,Yes
1109,Yes
1110,Yes
1111,Yes
1112,Yes
1113,Yes
1114,Yes
1115,Yes
1116,No
1117,Yes
1118,Yes
1119,A
1120,Yes
1121,Yes
1122,Yes
1123,Yes
1124,No
1125,Yes
1126,Yes
1127,Yes
1128,No
1129,No
1130,No
1131,No
1132,No
1133,Yes
1134,Yes
1135,Yes
1136,No
1137,Yes
1138,Yes
1139,Yes
1140,Yes
1141,Yes
1142,Yes
1143,Yes
1144,Yes
1145,Yes
1146,A).
1147,Yes
1148,Yes
1149,Yes
1150,Yes
1151,Yes
1152,Yes
1153,Yes
1154,Yes
1155,Yes
1156,Yes
1157,Yes
1158,Yes
1159,Yes
1160,Yes
1161,ICTR CHAMBER I
1162,Yes
1163,Yes
1164,Yes
1165,No
1166,Yes
1167,No
1168,Yes
1169,Yes
1170,Yes
1171,No
1172,No
1173,No
1174,No
1175,No
1176,No
1177,No
1178,No
1179,No
1180,Yes
1181,No
1182,Yes
1183,Yes
1184,Yes
1185,no longer a good idea
1186,Yes
1187,Yes
1188,Yes
1189,Yes
1190,Yes
1191,No
1192,No
1193,No
1194,No
1195,No
1196,Yes
1197,No
1198,Yes
1199,No
1200,yes
1201,No
1202,Yes
1203,Yes
1204,Yes
1205,smoke it
1206,Yes
1207,Yes
1208,Yes
1209,Yes
1210,Yes
1211,Yes
1212,Yes
1213,A
1214,No
1215,Yes
1216,Yes
1217,Yes
1218,No
1219,Yes
1220,Yes
1221,No
1222,No
1223,No
1224,Yes
1225,not know
1226,Yes
1227,No
1228,Yes
1229,No
1230,No
1231,Yes
1232,Yes
1233,No
1234,Yes
1235,Yes
1236,No
1237,No
1238,A
1239,Yes
1240,A).
1241,No
1242,No
1243,Yes
1244,Yes
1245,A).
1246,Yes
1247,Yes
1248,No
1249,Yes
1250,A).
1251,A
1252,Yes
1253,Yes
1254,Yes
1255,Yes
1256,Yes
1257,Yes
1258,Yes
1259,Yes
1260,No
1261,Yes
1262,Yes
1263,No
1264,No
1265,Yes
1266,Yes
1267,Yes
1268,is not relevant
1269,no
1270,No
1271,No
1272,was raped
1273,Yes
1274,Yes
1275,Yes
1276,no
1277,Yes
1278,Yes
1279,Yes
1280,No
1281,No
1282,No
1283,No
1284,No
1285,No
1286,No
1287,No
1288,No
1289,MR PRESIDENT
1290,No
1291,No
1292,Yes
1293,No
1294,Yes
1295,No
1296,No
1297,A Q A Q A Q A Q A Q A Q A Q A Q A Q A
1298,Yes
1299,No
1300,Is this a serious matter
1301,A
1302,Yes
1303,A No
1304,No
1305,A
1306,No
1307,A
1308,A
1309,No
1310,Yes
1311,No
1312,Yes
1313,Yes
1314,no
1315,A No
1316,Yes
1317,A I saw that with my own eyes
1318,Yes
1319,No
1320,No
1321,Thank you
1322,No
1323,No
1324,essential elements
1325,Yes
1326,BY MR MOSES He was called Chrysologue
1327,No
1328,No
1329,Yes
1330,No
1331,Yes
1332,No
1333,mainly
1334,speak slowly so that those who want to take notes first of all to hear what you have to
1335,Yes
1336,with
1337,Yes
1338,A).
1339,No
1340,A: A
1341,No
1342,No
1343,Yes
1344,No
1345,No
1346,No
1347,No
1348,No
1349,No
1350,No
1351,No
1352,No
1353,A
1354,Yes
1355,no
1356,No
1357,Yes
1358,Yes
1359,No
1360,No
1361,No
1362,Yes
1363,Yes
1364,Yes
1365,A
1366,A
1367,PRESIDENT
1368,Yes
1369,No
1370,American
1371,No
1372,A: Yes
1373,No
1374,No
1375,A Q A Q
1376,No
1377,No
1378,No
1379,No
1380,No
1381,No
1382,No
1383,A: Yes
1384,No
1385,No
1386,A A
1387,No
1388,No
1389,No
1390,Yes
1391,Yes
1392,headed in the opposite direction
1393,A: EV
1394,No
1395,A Q A Q A Q A A Q A
1396,No
1397,Yes
1398,No
1399,EV other
1400,Yes
1401,A
1402,A Yes
1403,No
1404,No
1405,Yes
1406,Yes
1407,No
1408,No
1409,A Yes
1410,Yes
1411,No
1412,No
1413,No
1414,No
1415,No
1416,No
1417,A).
1418,No
1419,No
1420,A No
1421,yes
1422,A: Yes
1423,Yes
1424,A yes
1425,A).
1426,Yes
1427,Yes
1428,Yes
1429,MOSES
1430,No
1431,No
1432,No
1433,Yes
1434,Yes
1435,No
1436,No
1437,No
1438,Yes
1439,No
1440,No
1441,No
1442,A
1443,No
1444,A).
1445,No
1446,No
1447,Yes
1448,A That day when I saw him he was on the road in the middle of the hill
1449,No
1450,No
1451,Yes
1452,Yes
1453,No
1454,No
1455,No
1456,No
1457,PERRAS
1458,No
1459,Yes
1460,Yes
1461,Yes
1462,EV
1463,No
1464,Yes
1465,Yes
1466,Yes
1467,No
1468,No
1469,KUNDATEMWA is a place between Kabuye and Dahwe
1470,No
1471,Yes
1472,Yes
1473,No
1474,No
